condition,color_type,length(m),height(cm),X1,X2,breed_category,pet_category,total_days
2,15,80.0,7.78,1,9,0,1,0.20
1,43,72.0,14.19,1,9,0,2,5.10
3,12,15.0,40.9,2,4,2,4,2.06
1,43,62.0,17.82,0,1,0,2,2.07
2,1,50.0,11.06,2,4,0,1,0.14
0,31,92.0,29.56,0,7,1,2,1.37
2,15,14.000000000000002,40.24,0,1,0,1,0.42
0,43,15.0,25.48,2,1,1,1,0.24
2,12,5.0,38.22,1,9,1,2,0.82
2,12,55.00000000000001,21.26,1,9,1,2,3.08
0,42,30.0,23.06,0,1,1,2,12.08
2,15,44.0,40.32,2,9,1,1,0.65
1,1,20.0,30.78,1,9,0,2,2.25
1,43,45.0,5.39,1,9,0,2,0.50
0,17,48.0,30.54,0,1,1,1,0.25
1,1,18.0,49.05,1,9,0,1,0.22
1,31,88.0,49.5,2,1,0,2,0.62
1,1,93.0,14.83,0,7,0,2,10.06
2,13,76.0,38.99,1,9,1,2,4.08
0,1,96.0,24.33,0,1,1,1,0.27
1,15,66.0,36.01,0,1,0,1,8.56
3,12,45.0,14.0,2,4,2,4,0.55
0,43,92.0,49.5,2,1,1,2,0.19
0,5,31.0,49.04,1,9,1,2,2.38
2,1,51.0,45.53,1,9,0,2,6.44
1,1,80.0,37.17,0,7,0,2,1.06
0,40,53.0,35.06,0,1,1,1,0.32
1,25,32.0,48.92,0,7,0,2,6.13
1,22,98.0,14.02,0,7,0,2,1.06
0,42,68.0,22.33,0,7,1,2,7.59
1,16,16.0,27.19,0,1,0,2,3.08
1,43,60.0,49.36,1,9,0,2,13.07
0,1,83.0,22.34,0,1,1,2,8.84
0,43,92.0,37.62,0,1,1,1,1.66
2,43,16.0,48.19,0,7,1,2,1.07
3,43,3.0,21.9,1,9,2,1,0.08
1,1,91.0,30.24,1,9,0,2,1.22
0,39,73.0,15.86,0,1,1,1,0.24
3,12,73.0,8.22,0,6,2,4,0.56
1,30,90.0,12.88,0,7,0,1,7.08
1,42,88.0,41.37,0,7,0,2,1.14
2,12,65.0,18.14,1,9,1,4,2.06
0,1,79.0,10.9,2,1,1,1,2.18
3,1,8.0,30.4,2,2,2,1,0.19
